price_ru;CL10;carYear;hasRun;engineVolume;wheel_right;wheel_left;gear_rear;gear_forward;gear_full;transmission_mech;transmission_auto;engine_disel;engine_injector;engine_carburator;body_kupe;body_sedan;body_universal;body_hatchback;condition_good;condition_bad
360000;3;0;0;1360;0;1;0;1;0;1;0;0;1;0;0;1;0;0;1;0
400000;3;0;0;1360;0;1;0;1;0;1;0;0;1;0;0;1;0;0;1;0
339000;3;0;0;1360;0;1;0;1;0;1;0;0;1;0;0;1;0;0;1;0
351000;9;0;0;1360;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
422300;2;0;0;1360;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;1
350000;9;1;30000;1360;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0
230000;9;7;100000;1360;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0
179900;9;8;100000;1360;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0
290000;3;1;11000;1400;0;1;0;1;0;1;0;0;1;0;0;1;0;0;1;0
300000;5;2;18000;1600;0;1;0;1;0;0;1;0;1;0;0;0;0;1;1;0
345000;7;2;25000;1600;0;1;0;1;0;1;0;0;1;0;0;0;1;0;1;0
330000;9;2;30000;1400;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
310000;3;1;32000;1400;0;1;0;1;0;1;0;0;1;0;0;1;0;0;1;0
265000;9;7;32000;2000;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
388888;9;0;33;1400;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
300000;9;4;35000;1400;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
330000;9;4;40000;1400;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
260000;3;2;42000;1400;0;1;0;1;0;1;0;0;1;0;0;1;0;0;1;0
315000;9;2;43000;1400;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
285000;9;5;43000;1400;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
310000;5;2;49000;1400;0;1;0;1;0;0;1;0;1;0;0;0;0;1;1;0
320000;5;3;50000;1400;0;1;0;1;0;0;1;0;1;0;0;0;0;1;1;0
225000;9;7;54000;1400;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
265000;9;5;57000;1400;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
280000;3;2;60000;1400;0;1;0;1;0;1;0;0;1;0;0;1;0;0;1;0
300000;5;5;60000;1400;0;1;0;1;0;0;1;0;1;0;0;0;0;1;1;0
270000;5;6;60000;1360;0;1;0;1;0;0;1;0;1;0;0;0;0;1;1;0
310000;8;3;63000;1400;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;0
210000;9;4;65000;1400;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
235000;9;6;71000;1120;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
200000;9;6;72000;1400;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
227000;9;6;77000;1400;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
265000;9;5;78000;1400;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
210000;9;6;80000;1600;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
25000;7;6;82000;1400;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0
300000;5;4;83000;1400;0;1;0;1;0;0;1;0;1;0;0;0;0;1;1;0
200000;9;7;83000;1100;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
230000;9;6;92000;1400;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0
